participant_id,age,gender,education,education_numeric,technical_field,employment,crt_score,need_for_cognition,working_memory,big5_extraversion,big5_agreeableness,big5_conscientiousness,big5_neuroticism,big5_openness,impulsivity_total,sensation_seeking,trust_propensity,risk_taking,state_anxiety,current_stress,fatigue_level,phishing_self_efficacy,perceived_risk,security_attitudes,privacy_concern,phishing_knowledge,technical_expertise,prior_victimization,security_training,years_email_use,daily_email_volume,email_volume_numeric,email_check_frequency,link_click_tendency,social_media_usage,overall_accuracy,phishing_detection_rate,false_positive_rate,phishing_click_rate,report_rate,mean_response_latency,mean_dwell_time,response_latency_sd
P0042,34,Male,Bachelor,3,0,Student,1,46,7,1.88,3.5,4.59,1.84,3.88,1.97,2.01,3.15,2.19,3.21,2.55,2.31,4.04,2.96,4.41,3.04,1,4,0,0,28,100+,5,Once daily,3.26,0.5,0.414,0.508,0.213,0.345,0.628,4204,5608,1226
P0043,59,Male,Master,4,1,Employed full-time,3,53,6,3.13,2.61,3.51,3.43,4.84,2.37,2.89,2.32,2.63,2.78,1.81,5.17,2.94,3.46,3.09,3.6,5,4,2,1,40,26-50,3,Hourly,2.82,0.5,0.684,0.606,0.223,0.334,0.305,3331,3882,1194
P0044,24,Female,Master,4,0,Employed full-time,2,53,5,3.41,2.58,2.41,2.58,3.46,3.24,3.28,3.12,2.08,1.94,2.12,3.7,3.88,4.01,3.71,3.5,6,2,1,0,8,11-25,2,Few times/day,2.09,5.3,0.567,0.561,0.051,0.354,0.071,3003,4279,1014
P0045,37,Female,Some college,2,0,Employed part-time,4,54,10,2.9,3.62,3.63,3.65,3.54,2.37,2.12,2.9,2.5,3.03,3.15,2.78,3.24,3.6,3.07,2.79,5,3,0,0,29,0-10,1,Few times/day,2.66,2.8,0.583,0.607,0.231,0.303,0.445,4211,5339,1762
P0046,43,Male,Bachelor,3,0,Retired,4,45,6,3.59,3.58,3.66,3.06,3.41,2.44,2.86,3.26,2.18,3.37,2.17,1.0,2.84,2.63,2.34,3.74,5,3,1,1,31,100+,5,Few times/week,2.87,5.4,0.634,0.68,0.232,0.26,0.146,4680,6301,1738
P0047,31,Female,Some college,2,1,Employed full-time,4,67,8,3.23,4.03,3.81,2.65,2.74,1.82,3.32,3.25,3.42,2.04,2.35,4.24,4.6,1.92,3.82,2.73,7,6,0,1,18,0-10,1,Constantly,2.63,3.5,0.899,0.891,0.094,0.075,0.48,3878,3878,1458
P0048,50,Female,High school,1,0,Self-employed,5,52,9,3.84,2.0,3.11,3.29,3.3,3.12,3.17,2.73,2.72,2.3,2.73,3.52,3.54,3.79,3.35,4.92,4,3,1,1,37,11-25,2,Few times/day,3.7,1.0,0.58,0.65,0.146,0.283,0.25,3074,3997,1023
P0049,53,Female,Master,4,0,Employed full-time,7,69,9,3.82,3.61,3.01,3.3,3.4,3.25,2.56,3.6,3.17,2.63,1.6,5.06,3.97,5.0,3.31,4.68,2,4,2,1,40,26-50,3,Few times/day,2.69,0.3,0.619,0.666,0.102,0.227,0.12,3942,5590,1189
P0050,26,Male,Master,4,0,Student,1,44,9,4.02,4.41,2.88,3.58,3.55,3.15,3.46,3.72,3.17,2.53,1.92,2.19,3.45,2.98,2.52,2.29,6,2,0,1,15,0-10,1,Hourly,3.23,2.0,0.386,0.493,0.02,0.289,0.07,2293,2293,1067
P0051,46,Female,Master,4,0,Employed full-time,2,40,9,2.43,3.77,3.46,3.03,2.98,2.58,2.43,3.03,2.46,1.94,1.0,3.05,3.25,2.83,3.54,3.18,5,3,3,1,40,100+,5,Once daily,2.73,0.9,0.695,0.603,0.045,0.351,0.297,2849,3717,1366
P0052,44,Female,High school,1,1,Employed full-time,1,54,6,2.67,3.58,3.92,1.06,3.36,1.88,2.48,3.0,3.13,1.0,1.62,3.86,4.09,3.86,3.61,4.44,4,4,2,1,27,11-25,2,Few times/day,3.02,1.1,0.513,0.512,0.02,0.334,0.406,3375,3988,1170
P0053,37,Female,Master,4,0,Employed full-time,5,63,11,4.09,3.67,4.05,2.03,3.84,1.48,5.0,4.27,3.51,2.29,3.16,5.01,2.82,2.51,3.23,3.63,6,3,1,1,31,0-10,1,Hourly,3.97,1.1,0.671,0.693,0.086,0.257,0.488,4413,6756,1941
P0054,31,Male,Bachelor,3,1,Self-employed,7,77,13,3.38,3.16,3.07,2.6,2.34,2.11,3.06,3.46,2.33,2.77,1.88,3.81,4.11,4.4,3.49,3.67,7,6,1,1,24,100+,5,Few times/day,3.16,5.5,0.797,0.856,0.163,0.086,0.326,4105,4543,1348
P0055,54,Female,Some college,2,1,Employed full-time,0,45,5,4.62,4.01,4.77,1.43,4.66,1.88,3.78,3.34,3.69,1.57,1.6,2.65,5.0,3.53,3.87,1.66,7,3,0,1,40,11-25,2,Once daily,3.01,0.1,0.555,0.546,0.02,0.21,0.379,2607,4234,1206
P0056,27,Female,Bachelor,3,0,Unemployed,7,82,8,2.99,2.25,2.78,3.54,2.44,2.86,3.11,2.43,2.18,2.79,3.19,5.06,2.95,3.18,2.14,3.33,6,5,2,0,14,51-100,4,Few times/day,2.02,0.4,0.769,0.852,0.255,0.101,0.101,4353,6502,1694
P0057,33,Female,High school,1,1,Employed part-time,2,61,7,1.75,3.48,2.67,3.17,3.05,2.4,2.26,2.59,1.85,2.76,2.62,3.13,4.99,2.58,3.76,3.47,6,4,3,0,17,26-50,3,Few times/day,1.54,1.9,0.656,0.676,0.21,0.153,0.457,3576,4709,1218
P0058,45,Male,Master,4,0,Employed full-time,0,45,4,1.42,3.04,2.67,3.44,3.18,2.44,2.07,3.49,1.32,2.24,1.86,3.72,5.0,3.91,3.75,2.17,4,4,1,1,30,26-50,3,Constantly,3.02,4.3,0.497,0.487,0.122,0.389,0.286,2621,2842,834
P0059,45,Male,Bachelor,3,0,Employed full-time,5,51,6,4.66,4.01,3.31,1.37,3.44,2.44,3.7,3.13,3.95,2.31,2.76,4.4,3.11,2.84,2.67,3.58,3,1,2,1,31,11-25,2,Few times/day,2.63,5.0,0.487,0.456,0.058,0.371,0.163,3844,4732,1873
P0060,54,Female,Some college,2,1,Employed full-time,1,68,7,3.88,3.11,3.93,2.73,3.18,2.57,3.45,3.48,2.64,2.58,2.42,5.38,4.24,3.77,2.41,3.01,7,5,1,1,40,26-50,3,Few times/day,3.21,1.6,0.587,0.636,0.199,0.304,0.149,2481,3480,716
P0061,30,Female,Some college,2,0,Retired,1,44,6,3.75,3.89,3.16,3.02,4.61,2.09,4.06,3.72,3.08,2.86,2.3,3.94,2.65,3.52,3.68,3.7,3,3,1,0,18,11-25,2,Constantly,2.35,0.1,0.495,0.489,0.18,0.367,0.404,4140,5450,1629
P0062,52,Male,Some college,2,0,Employed full-time,1,24,5,3.9,4.72,4.02,1.82,2.5,2.07,3.71,4.29,2.62,2.41,1.91,6.6,2.52,4.23,2.68,3.57,2,2,1,0,40,100+,5,Few times/day,3.89,0.9,0.502,0.513,0.043,0.3,0.12,2639,2995,650
P0063,42,Female,High school,1,0,Student,0,41,4,2.45,3.91,3.35,3.47,2.66,2.81,3.13,3.7,2.58,3.98,3.15,3.39,3.64,3.33,4.2,3.33,2,3,4,0,32,0-10,1,Few times/day,2.18,5.0,0.495,0.529,0.233,0.357,0.303,3340,4896,1078
P0064,41,Male,Bachelor,3,1,Employed full-time,3,67,8,2.03,3.29,4.12,3.06,2.51,2.04,2.77,3.03,2.46,2.11,1.94,3.85,4.33,5.0,5.0,4.33,4,4,1,1,30,11-25,2,Few times/day,2.46,1.4,0.637,0.651,0.039,0.182,0.65,3338,4291,995
P0065,38,Female,Master,4,0,Employed full-time,4,67,6,2.11,3.02,4.35,2.89,2.66,2.56,2.9,3.01,3.02,2.11,3.2,2.76,3.3,3.64,3.81,3.69,6,4,1,1,26,51-100,4,Hourly,2.5,2.6,0.701,0.791,0.148,0.134,0.445,3540,4752,722
P0066,54,Female,High school,1,0,Student,2,40,7,1.78,3.72,3.15,1.88,3.76,2.28,3.23,3.31,2.06,2.93,2.87,3.89,2.81,3.32,3.31,5.0,7,3,3,0,40,26-50,3,Hourly,3.51,0.6,0.647,0.669,0.24,0.157,0.458,3659,5302,1306
P0067,26,Female,High school,1,0,Student,1,40,7,3.2,4.65,4.0,2.81,4.4,1.63,3.69,3.58,2.85,2.83,2.38,3.86,3.06,2.89,3.19,4.58,6,5,0,1,17,26-50,3,Few times/week,2.43,0.1,0.668,0.638,0.217,0.268,0.478,2694,3858,1005
P0068,24,Female,Bachelor,3,1,Employed full-time,2,35,5,2.6,4.79,5.0,1.84,2.91,1.53,1.88,3.07,2.9,2.13,1.98,4.75,4.55,3.9,2.42,2.71,6,3,1,0,13,26-50,3,Constantly,2.03,1.7,0.665,0.628,0.194,0.27,0.304,4041,5907,1237
P0069,57,Male,Master,4,1,Employed full-time,5,57,6,3.14,3.27,4.0,1.36,4.44,2.41,3.58,2.2,3.61,1.65,1.2,4.03,4.65,2.91,3.29,3.99,6,5,0,0,40,0-10,1,Once daily,2.59,3.6,0.742,0.814,0.153,0.135,0.313,2785,3912,978
P0070,46,Female,Some college,2,0,Employed full-time,1,42,7,1.32,3.04,2.92,2.11,5.0,2.42,3.55,3.33,2.46,2.09,1.63,2.87,4.0,2.58,2.92,2.68,3,2,4,0,37,0-10,1,Few times/day,2.25,9.3,0.512,0.51,0.106,0.306,0.29,2378,2852,906
P0071,55,Male,Some college,2,1,Employed full-time,4,57,10,2.69,2.85,3.27,3.84,2.73,2.41,2.24,2.85,2.35,2.85,2.0,3.81,3.81,2.83,3.16,2.63,5,5,0,1,40,100+,5,Once daily,2.67,3.7,0.571,0.615,0.345,0.324,0.25,3652,4724,907
P0072,49,Female,Bachelor,3,0,Student,7,68,11,2.7,3.7,3.04,2.31,4.42,2.77,2.97,3.7,3.72,1.56,1.85,2.69,3.07,3.05,3.9,2.27,9,3,3,1,36,11-25,2,Hourly,2.91,1.6,0.806,0.795,0.02,0.18,0.167,3595,5401,1447
P0073,35,Female,Some college,2,0,Employed full-time,0,18,5,3.12,3.15,3.49,3.38,3.68,2.68,3.06,2.9,2.24,3.23,2.66,4.16,4.43,5.0,3.53,3.57,2,2,1,0,17,11-25,2,Hourly,4.81,1.9,0.483,0.531,0.268,0.337,0.346,2694,2957,1207
P0074,53,Female,High school,1,1,Employed full-time,1,56,5,4.08,4.34,3.94,1.12,3.95,1.89,3.6,3.56,2.28,1.0,1.0,2.83,5.0,3.43,3.88,3.94,4,4,1,0,40,26-50,3,Hourly,2.35,3.5,0.628,0.703,0.02,0.184,0.431,2294,2594,971
P0075,45,Male,Bachelor,3,1,Student,2,39,10,2.66,3.88,3.91,2.09,3.72,2.29,2.66,3.76,2.31,1.78,2.36,1.82,3.63,2.67,3.13,3.32,5,5,1,1,31,11-25,2,Hourly,2.8,0.0,0.52,0.557,0.042,0.296,0.344,2301,3178,978
P0076,34,Female,Bachelor,3,1,Employed full-time,4,56,7,2.68,3.89,3.43,2.07,3.65,2.07,2.95,4.03,2.68,1.98,1.46,2.14,3.9,4.07,3.96,3.83,6,4,1,0,24,26-50,3,Once daily,3.0,6.1,0.654,0.697,0.02,0.212,0.318,4381,5636,1698
P0077,40,Male,Bachelor,3,1,Employed full-time,6,65,11,4.67,2.91,4.23,1.0,3.54,1.53,3.85,2.82,3.05,2.78,2.07,2.09,3.07,3.35,3.64,1.0,7,5,0,1,29,26-50,3,Few times/day,2.57,1.5,0.915,0.893,0.187,0.031,0.453,4919,5158,2104
P0078,30,Male,Bachelor,3,0,Student,4,51,10,2.88,4.09,3.85,3.36,2.97,2.69,1.78,3.04,2.67,2.7,2.99,2.87,4.04,4.24,3.95,3.51,3,3,4,1,13,51-100,4,Few times/day,3.55,6.1,0.637,0.619,0.16,0.301,0.357,3587,5039,1741
P0079,73,Female,Bachelor,3,1,Student,3,55,8,1.71,2.73,1.8,4.2,2.96,3.14,2.41,3.39,2.41,3.26,3.66,2.48,5.0,4.73,3.65,3.13,3,4,2,0,40,11-25,2,Few times/day,4.4,2.9,0.41,0.473,0.199,0.419,0.252,3571,4884,2146
P0080,23,Male,Some college,2,0,Student,6,68,10,3.94,4.07,3.22,3.43,4.84,3.3,3.54,3.33,2.89,2.35,3.12,3.47,4.54,2.01,4.69,2.14,6,4,3,0,16,11-25,2,Few times/day,2.54,0.3,0.719,0.679,0.112,0.293,0.368,3283,5565,1041
P0081,22,Female,Some college,2,0,Self-employed,6,48,4,3.51,3.85,3.2,2.79,4.94,3.02,2.76,3.15,2.48,2.92,3.38,3.03,5.0,1.3,1.74,2.18,4,2,1,0,10,51-100,4,Constantly,3.27,0.4,0.544,0.504,0.139,0.334,0.02,4074,5414,1359
P0082,31,Male,High school,1,0,Employed part-time,3,71,9,2.15,3.89,1.38,5.0,3.56,3.43,2.99,3.21,2.28,4.0,3.75,4.12,3.5,4.79,4.19,4.03,5,4,3,0,19,11-25,2,Hourly,3.0,0.9,0.513,0.565,0.284,0.36,0.233,3808,6161,1227
P0083,44,Male,High school,1,0,Employed part-time,2,63,8,3.72,2.57,3.15,3.52,3.36,3.3,3.36,2.51,3.49,3.06,2.73,3.96,2.77,2.65,3.92,3.84,4,3,3,1,31,11-25,2,Few times/day,3.13,0.6,0.467,0.52,0.225,0.394,0.239,2537,3672,1273
P0084,27,Female,Bachelor,3,0,Employed part-time,3,47,6,2.94,3.05,2.43,3.97,2.6,3.22,2.77,3.34,2.44,2.84,2.44,3.11,4.72,1.84,2.51,2.64,4,3,5,0,15,51-100,4,Hourly,3.85,1.2,0.51,0.551,0.155,0.289,0.064,2574,2619,1349
P0085,28,Female,Master,4,0,Employed full-time,4,40,8,2.13,3.13,2.58,3.29,3.58,3.45,3.01,2.49,2.07,1.72,2.22,4.99,3.8,2.78,4.51,3.79,2,2,3,1,21,26-50,3,Hourly,4.09,1.9,0.55,0.566,0.08,0.263,0.301,3095,4037,1426
P0086,43,Male,Doctorate,5,0,Employed full-time,6,55,10,3.5,3.85,3.17,2.59,2.87,2.59,3.13,3.4,3.41,2.75,3.27,2.39,3.13,2.43,3.5,3.79,7,3,0,1,34,11-25,2,Few times/week,3.49,1.1,0.744,0.729,0.067,0.233,0.194,4358,5623,1279
P0087,38,Female,Bachelor,3,0,Employed full-time,5,60,8,3.17,1.93,3.38,3.08,3.65,2.5,2.73,2.64,2.55,2.14,2.19,4.71,4.93,2.58,3.23,3.54,6,2,1,1,24,11-25,2,Few times/day,2.89,0.1,0.75,0.683,0.121,0.2,0.417,4027,5181,1513
P0088,41,Female,Some college,2,0,Student,1,39,6,3.65,3.57,3.64,1.26,3.72,1.95,3.64,2.98,2.52,1.47,1.64,3.69,3.19,3.88,3.69,2.74,6,3,1,0,29,51-100,4,Few times/day,3.28,7.4,0.621,0.535,0.02,0.296,0.417,2673,3128,1143
